Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol,Buy_Sell,Indicator
2019-12-27,85.68000030517578,85.11000061035156,85.68000030517578,85.41999816894531,767700.0,85.23999786376953,79.30652770996093,76.17728149414063,74.84918334960938,A,BUY,N/A
2019-12-30,85.4000015258789,84.63999938964844,85.33999633789062,84.9000015258789,742800.0,84.9000015258789,79.50928527832029,76.34946998596192,74.87161544799805,A,BUY,N/A
2019-12-27,29.809999465942386,28.36000061035156,29.76000022888184,28.440000534057607,8416500.0,28.440000534057607,28.9156742477417,27.997548789978023,29.93159607887268,AAL,BUY,N/A
2019-12-30,28.53000068664551,28.06999969482422,28.5,28.29999923706055,4940300.0,28.29999923706055,28.92487907409668,27.995173816680907,29.917452058792115,AAL,BUY,N/A
2019-12-27,159.75,158.0,159.47000122070312,158.35000610351562,487200.0,158.35000610351562,160.43170135498048,155.13179428100585,157.89657020568848,AAP,BUY,N/A
2019-12-30,160.25999450683594,157.42999267578125,158.35000610351562,159.1199951171875,563400.0,159.1199951171875,160.3403448486328,155.28370300292968,157.91915061950684,AAP,BUY,N/A
2019-12-27,293.9700012207031,288.1199951171875,291.1199951171875,289.79998779296875,36566500.0,289.79998779296875,262.6214431762695,239.05112182617188,217.07969825744632,AAPL,BUY,N/A
2019-12-30,292.69000244140625,285.2200012207031,289.4599914550781,291.5199890136719,36028600.0,291.5199890136719,263.76032806396483,239.98939086914064,217.61654151916503,AAPL,BUY,N/A
2019-12-27,90.27999877929688,88.83000183105469,89.9800033569336,89.19999694824219,4087800.0,89.19999694824219,85.00000030517576,76.82710994720459,75.44771627426148,ABBV,BUY,N/A
2019-12-30,89.7300033569336,88.16000366210938,89.22000122070312,88.5199966430664,7014800.0,88.5199966430664,85.26760025024414,77.07697414398193,75.50064867019654,ABBV,BUY,N/A
2019-12-27,85.48999786376953,84.83000183105469,85.12999725341797,84.91000366210938,388400.0,84.91000366210938,86.49322280883787,85.0911833190918,82.713854637146,ABC,BUY,N/A
2019-12-30,85.2300033569336,83.58000183105469,84.94999694824219,83.63999938964844,592400.0,83.63999938964844,86.38433578491211,85.07704620361328,82.73692073822022,ABC,BUY,N/A
2019-12-27,172.36000061035156,169.16000366210938,171.72999572753906,169.27000427246094,360500.0,169.27000427246094,190.18739898681642,187.2152990722656,227.6422492980957,ABMD,BUY,N/A
2019-12-30,170.6999969482422,166.0800018310547,169.69000244140625,167.2899932861328,619200.0,167.2899932861328,190.00279876708984,186.98889907836914,226.81254920959472,ABMD,BUY,N/A
2019-12-27,87.75,87.0199966430664,87.48999786376953,87.4000015258789,2508100.0,87.4000015258789,84.39540008544924,83.70345916748047,81.88803153991701,ABT,BUY,N/A
2019-12-30,87.79000091552734,86.61000061035156,87.5199966430664,86.80000305175781,2706100.0,86.80000305175781,84.48380020141602,83.72883735656737,81.92742473602294,ABT,BUY,N/A
2019-12-27,212.6300048828125,211.6100006103516,212.4499969482422,212.22000122070312,1292200.0,212.22000122070312,196.43080047607415,193.8098001098633,187.2887355804443,ACN,BUY,N/A
2019-12-30,212.2400054931641,209.0500030517578,212.2400054931641,210.63999938964844,1193900.0,210.63999938964844,196.92280059814453,194.0355801391601,187.52034965515136,ACN,BUY,N/A
2019-12-27,332.8800048828125,329.7699890136719,332.8800048828125,330.7900085449219,1229800.0,330.7900085449219,297.57000061035154,289.57220062255857,286.16025039672854,ADBE,BUY,N/A
2019-12-30,330.4700012207031,325.1700134277344,330.3500061035156,328.3399963378906,1896700.0,328.3399963378906,298.7520007324219,289.96540069580084,286.51650039672853,ADBE,BUY,N/A
2019-12-27,120.0,118.98999786376952,119.72000122070312,119.4499969482422,1360900.0,119.4499969482422,112.71014099121092,111.5706015777588,110.1857887649536,ADI,BUY,N/A
2019-12-30,119.4499969482422,117.94000244140624,119.27999877929688,118.86000061035156,1107300.0,118.86000061035156,112.89772644042972,111.67164939880371,110.24142307281494,ADI,BUY,N/A
2019-12-27,46.4000015258789,46.11000061035156,46.38000106811523,46.29999923706055,1355000.0,46.29999923706055,43.02309982299805,40.95388835906982,40.738342914581295,ADM,BUY,N/A
2019-12-30,46.459999084472656,46.02000045776367,46.43999862670898,46.11999893188477,1375600.0,46.11999893188477,43.15497497558594,41.04877017974854,40.75862154006958,ADM,BUY,N/A
2019-12-27,170.9499969482422,169.75,170.77000427246094,170.77000427246094,821400.0,170.77000427246094,166.0089605712891,164.27955322265626,162.30416809082033,ADP,BUY,N/A
2019-12-30,170.85000610351562,169.02999877929688,170.50999450683594,169.58999633789062,867100.0,169.58999633789062,166.14198944091797,164.34772186279298,162.38725463867186,ADP,BUY,N/A
2019-12-27,111.5999984741211,110.0999984741211,110.9800033569336,110.91000366210938,465900.0,110.91000366210938,107.6449089050293,118.7816423034668,135.27832778930664,ADS,SELL,N/A
2019-12-30,111.51000213623048,109.9800033569336,110.77999877929688,110.69000244140624,475200.0,110.69000244140624,107.40580032348629,118.37312210083007,134.98271827697755,ADS,SELL,N/A
2019-12-27,185.63999938964844,183.6999969482422,185.3000030517578,185.3800048828125,645200.0,185.3800048828125,164.8420004272461,156.41500030517582,161.29065048217777,ADSK,BUY,N/A
2019-12-30,185.5,182.00999450683602,184.6300048828125,183.3000030517578,999200.0,183.3000030517578,165.62260040283203,156.8063003540039,161.44075050354004,ADSK,BUY,N/A
2019-12-27,76.33000183105469,75.58999633789062,75.94000244140625,76.30000305175781,1659800.0,76.30000305175781,75.17081405639648,75.84948348999023,74.48622264862061,AEE,SELL,N/A
