Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol
2019-01-09,104.87999725341797,103.23999786376953,103.86000061035156,104.2699966430664,32280800.0,102.75071716308594,102.75071716308594,102.75071716308594,102.75071716308594,MSFT
2019-01-10,103.75,102.37999725341797,103.22000122070312,103.5999984741211,30067600.0,102.09048461914062,102.42060089111328,102.42060089111328,102.42060089111328,MSFT
2019-01-11,103.44000244140625,101.63999938964844,103.19000244140625,102.80000305175781,28314200.0,101.30213928222656,102.0477803548177,102.0477803548177,102.0477803548177,MSFT
2019-01-14,102.87000274658203,101.26000213623047,101.9000015258789,102.05000305175781,28437100.0,100.56307220458984,101.67660331726074,101.67660331726074,101.67660331726074,MSFT
2019-01-15,105.05000305175781,101.87999725341797,102.51000213623047,105.01000213623047,31587600.0,103.47994995117188,102.03727264404297,102.03727264404297,102.03727264404297,MSFT
2019-01-16,106.26000213623047,104.95999908447266,105.26000213623047,105.37999725341797,29853900.0,103.84455108642578,102.33848571777344,102.33848571777344,102.33848571777344,MSFT
2019-01-17,106.62999725341797,104.76000213623047,105.0,106.12000274658203,28393000.0,104.57376861572266,102.6578118460519,102.6578118460519,102.6578118460519,MSFT
2019-01-18,107.9000015258789,105.91000366210938,107.45999908447266,107.70999908447266,37427600.0,106.1406021118164,103.09316062927246,103.09316062927246,103.09316062927246,MSFT
2019-01-22,107.0999984741211,104.86000061035156,106.75,105.68000030517578,32371300.0,104.14017486572266,103.2094955444336,103.2094955444336,103.2094955444336,MSFT
2019-01-23,107.04000091552734,105.33999633789062,106.12000274658203,106.70999908447266,25874300.0,105.15516662597656,103.4040626525879,103.4040626525879,103.4040626525879,MSFT
2019-01-24,107.0,105.33999633789062,106.86000061035156,106.19999694824219,23164800.0,104.65260314941406,103.51756633411755,103.51756633411755,103.51756633411755,MSFT
2019-01-25,107.87999725341797,106.19999694824219,107.23999786376953,107.16999816894531,31225600.0,105.60846710205078,103.69180806477864,103.69180806477864,103.69180806477864,MSFT
