Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol,Buy_Sell,Indicator,Narrative
2020-01-03,322.9599914550781,318.260009765625,318.4800109863281,322.29998779296875,190707.0,322.29998779296875,305.9274005126953,305.7167007446289,307.962841796875,COO,BUY,Flash,"50 Day (305.9274005126953) now above 100 day (305.7167007446289) BULLISH Indicator, BUY Rating"
2020-01-03,26.53499984741211,25.920000076293945,26.5,26.10000038146973,6770860.0,26.10000038146973,22.99473583221436,22.944612884521483,25.74530234336853,DVN,BUY,Flash,"50 Day (22.99473583221436) now above 100 day (22.944612884521483) BULLISH Indicator, BUY Rating"
2020-01-03,36.91999816894531,36.11000061035156,36.72999954223633,36.31999969482422,8899925.0,36.31999969482422,36.41503723144531,36.40712188720703,36.72573896408081,GM,BUY,Flash,"50 Day (36.41503723144531) now above 100 day (36.40712188720703) BULLISH Indicator, BUY Rating"
2020-01-03,322.9599914550781,318.260009765625,318.4800109863281,322.29998779296875,197300.0,322.29998779296875,305.9274005126953,305.7167007446289,307.962841796875,COO,BUY,Flash,"50 Day (305.9274005126953) now above 100 day (305.7167007446289) BULLISH Indicator, BUY Rating"
2020-01-03,26.540000915527344,25.920000076293945,26.5,26.10000038146973,6983500.0,26.10000038146973,22.99473583221436,22.944612884521483,25.74530234336853,DVN,BUY,Flash,"50 Day (22.99473583221436) now above 100 day (22.944612884521483) BULLISH Indicator, BUY Rating"
2020-01-06,83.75,83.0,83.05000305175781,83.30999755859375,2717500.0,83.30999755859375,82.0218376159668,82.07591415405274,77.59692302703857,ES,SELL,Flash,"50 Day ($82.0218376159668) now below 100 day ($82.07591415405274) BEARISH Indicator, SELL Rating"
2020-01-07,208.5800018310547,204.77999877929688,208.19000244140625,205.0200042724609,787066.0,205.0200042724609,210.7006652832032,210.92821517944336,205.5140929412842,AVB,SELL,Flash,"50 Day ($210.7006652832032) now below 100 day ($210.92821517944336) BEARISH Indicator, SELL Rating"
2020-01-07,18.545000076293945,17.889999389648438,18.1299991607666,18.020000457763672,5602845.0,18.020000457763672,17.802143840789796,17.777821235656738,20.84906240463257,LB,BUY,Flash,"50 Day ($17.802143840789796) now above 100 day ($17.777821235656738) BULLISH Indicator, BUY Rating"
2020-01-07,55.64609909057617,54.69499969482422,54.88999938964844,55.349998474121094,822301.0,55.349998474121094,54.35726791381836,54.37626651763916,54.30917747497558,PFG,SELL,Flash,"50 Day ($54.35726791381836) now below 100 day ($54.37626651763916) BEARISH Indicator, SELL Rating"
2020-01-07,50.08000183105469,48.83000183105469,49.0099983215332,49.959999084472656,1221660.0,49.959999084472656,51.558604431152354,51.57994144439697,49.87423885345459,PRGO,SELL,Flash,"50 Day ($51.558604431152354) now below 100 day ($51.57994144439697) BEARISH Indicator, SELL Rating"
2020-01-07,145.49000549316406,143.50999450683594,144.63999938964844,144.4499969482422,1419955.0,144.4499969482422,149.05077239990234,149.10049728393554,156.10062477111816,SPG,SELL,Flash,"50 Day ($149.05077239990234) now below 100 day ($149.10049728393554) BEARISH Indicator, SELL Rating"
2020-01-08,586.1599731445312,575.010009765625,583.0,583.7999877929688,261000.0,583.7999877929688,559.805966796875,559.8112603759765,522.9944502258302,EQIX,SELL,Flash,"50 Day ($559.805966796875) now below 100 day ($559.8112603759765) BEARISH Indicator, SELL Rating"
2020-01-08,23.68000030517578,22.70000076293945,23.3799991607666,22.71999931335449,6566100.0,22.71999931335449,21.84492324829101,21.833056564331056,22.30334405899048,NBL,BUY,Flash,"50 Day ($21.84492324829101) now above 100 day ($21.833056564331056) BULLISH Indicator, BUY Rating"
2020-01-08,150.24000549316406,147.1699981689453,147.1699981689453,149.39999389648438,540100.0,149.39999389648438,147.70147857666015,147.9365968322754,141.03988826751709,WHR,SELL,Flash,"50 Day ($147.70147857666015) now below 100 day ($147.9365968322754) BEARISH Indicator, SELL Rating"
